file,category,upstream_repository,upstream_url,upstream_path,upstream_revision,differing_lines,notice
floo_noc/vc_router_util/floo_look_ahead_routing.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_look_ahead_routing.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/vc_router_util/floo_mux.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_mux.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/vc_router_util/floo_rr_arbiter.sv,include-path,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_rr_arbiter.sv,reduction-vc-rebase..v0.8.4,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
floo_noc/vc_router_util/floo_sa_global.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_sa_global.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/vc_router_util/floo_sa_local.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_sa_local.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/vc_router_util/floo_vc_assignment.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_vc_assignment.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/vc_router_util/floo_vc_router_switch.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_vc_router_switch.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/vc_router_util/floo_vc_selection.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/vc_router_util/floo_vc_selection.sv,reduction-vc-rebase..v0.8.4,,
idma/backend/.gitignore,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
idma/backend/idma_axi_read.sv,include-path,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_axi_read.sv,picobello-tapeout..v0.6.5-src,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
idma/backend/idma_axi_write.sv,include-path,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_axi_write.sv,picobello-tapeout..v0.6.5-src,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
idma/backend/idma_axil_read.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_axil_read.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_axil_write.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_axil_write.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_axis_read.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_axis_read.sv,v0.6.5..v0.6.5-src,,
idma/backend/idma_axis_write.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_axis_write.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_backend_rw_axi.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,target/rtl/idma_backend_rw_axi.sv,picobello-tapeout..v0.6.5,,
idma/backend/idma_channel_coupler.sv,include-path,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_channel_coupler.sv,picobello-tapeout..v0.6.5-src,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
